UEMPRATE,cartodb_id,borocode,withssi,withsocial,withpubass,struggling,profession,popunemplo,poptot,popover18,popinlabou,poororstru,poor,pacificune,pacificinl,pacific,otherunemp,otherinlab,otherethni,onlyprofes,onlymaster,onlylessth,onlyhighsc,onlydoctor,onlycolleg,onlybachel,okay,mixedunemp,mixedinlab,mixed,master,maleunempl,maleover18,male_pro,male_mastr,male_lesHS,male_HS,male_doctr,male_collg,male_BA,maleinlabo,maledrop,male16to19,male,lessthan10,lessthanhi,households,hispanicun,hispanicin,hispanic,highschool,field_1,femaleunem,femaleover,fem_profes,fem_master,fem_lessHS,fem_HS,fem_doctor,fem_colleg,fem_BA,femaleinla,femaledrop,femal16_19,female,europeanun,europeanin,european,doctorate,comm90plus,comm_less5,comm_60_89,comm_5_14,comm_45_59,comm_30_44,comm_15_29,college,bachelor,asianunemp,asianinlab,asian,americanun,americanin,american,africanune,africaninl,african,ntaname,boroname,popdty,ntacode,medianinco,medianagem,medianagef,medianage,HHsize,gini
0.0000000,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Airport,Queens,0,QN98,NA,NA,NA,NA,NA,NA
0.0733558,12,4,1155,4504,811,12447,1423,2716,60575,51282,37025,19532,7085,0,0,0,359,3272,5532,1931,6434,8224,37864,508,26871,17313,40259,75,763,1828,4503,1462,25474,1137,3207,3994,19129,224,13375,8598,20294,38,1057,29889,1660,8224,26309,1004,12227,21198,10993,142,1254,25808,794,3227,4230,18735,284,13496,8715,16731,14,812,30686,1556,23358,36175,508,797,143,3384,1790,5805,12393,8384,9558,10879,605,8787,15435,0,49,134,121,739,1471,Hunters Point-Sunnyside-West Maspeth,Queens,878133.637,QN31,NA,NA,NA,NA,NA,NA
0.0773032,13,4,276,1712,356,3045,316,1189,28201,20505,15381,5005,1960,0,0,0,23,200,328,332,1646,2026,15529,16,11112,5269,23098,21,268,469,1314,621,8516,195,541,831,6092,10,4071,1834,6350,23,879,12209,182,2026,7896,68,905,1678,4417,122,568,11989,137,1105,1195,9437,6,7041,3435,9031,0,819,15992,87,934,2094,16,2503,92,2409,1036,1946,2765,2567,5843,3623,28,746,1113,0,0,35,1030,13233,24162,Rosedale,Queens,92751.145,QN05,506307,189.9,220.9,204.3,3.525,0.34105
0.0829493,14,2,582,4015,107,4087,567,1170,26139,21814,14105,6744,2657,0,0,0,325,3377,5284,700,2309,3762,16198,133,10393,5404,19140,39,238,581,1609,743,10153,421,1117,1363,7880,57,5311,2560,7232,0,511,12231,961,3762,11247,408,4843,8201,5805,59,427,11661,279,1192,2399,8318,76,5082,2844,6873,28,522,13908,726,9550,18673,133,834,233,2912,1633,1452,2408,2916,4989,3095,28,510,905,0,16,16,52,414,680,Pelham Bay-Country Club-City Island,Bronx,169827.815,BX10,340905,255.6,280.1,267.5,2.35333333333333,0.430983333333333
0.1983642,15,2,1590,2074,997,7075,44,2110,27562,18912,10637,19004,11929,0,0,12,898,4251,10920,44,301,7125,8394,0,4414,1333,7474,170,556,1369,257,792,8902,8,76,3400,3711,0,1618,528,4883,175,893,13202,2360,7125,8877,1545,8093,20729,3980,65,1318,10010,36,225,3725,4683,0,2796,805,5754,101,845,14360,452,2790,7299,0,378,96,1843,957,1374,1869,1374,3081,1032,19,70,149,0,16,54,571,2933,7759,Hunts Point,Bronx,394247.975,BX27,149520,208.5,246,228.5,2.9375,0.489625
0.2084009,16,3,2654,3412,1207,7556,341,2570,30018,23558,12332,17105,9549,0,0,21,269,1167,2612,496,1353,6461,13994,155,7566,3584,12286,39,143,622,857,1289,10632,249,614,2887,5906,101,3197,1503,6019,83,1258,13849,2455,6461,11215,515,2876,7069,6428,4,1281,12926,247,739,3574,8088,54,4369,2081,6313,63,881,16169,694,4946,12724,155,1280,128,1729,1033,1264,1758,1939,3982,2231,82,1324,3113,30,79,187,1456,4663,10739,Seagate-Coney Island,Brooklyn,264094.095,BK21,236991,338,385.3,370.6,2.5025,0.4332625
0.1044188,17,4,1974,4026,1258,9383,465,2252,50294,35869,21567,21130,11747,0,0,0,161,1963,3986,655,2731,7666,22544,190,14112,7022,27307,55,711,1553,2076,1192,16031,421,1383,3754,9488,127,5916,3130,10297,114,1366,23253,3073,7666,16060,519,5843,12627,8432,128,1060,19838,234,1348,3912,13056,63,8196,3892,11270,22,1441,27041,578,6901,19970,190,3259,280,3832,3000,1632,2637,4029,7090,4291,20,465,957,0,80,148,1438,11413,23680,Far Rockaway-Bayswater,Queens,214853.77,QN15,354594,237.9,275.3,258,3.08875,0.4900375
0.0801688,18,3,36,47,0,58,28,19,416,288,237,220,162,0,0,0,0,0,0,28,53,73,178,0,135,128,196,0,35,35,25,0,134,0,8,27,88,0,68,61,107,0,0,180,0,73,170,0,75,86,43,51,19,154,28,45,46,90,0,67,67,130,0,12,236,0,144,286,0,7,0,6,0,65,66,12,7,75,0,0,0,0,0,0,19,58,95,park-cemetery-etc-Brooklyn,Brooklyn,NA,BK99,NA,NA,NA,NA,NA,NA
0.1354467,19,2,43,72,7,299,0,94,1377,986,694,576,277,0,0,0,31,209,493,7,54,241,646,7,429,184,709,0,42,64,47,53,423,7,18,108,278,7,161,79,293,0,26,643,55,241,482,55,357,789,217,89,41,563,0,36,133,368,0,268,105,401,19,40,734,24,176,293,7,53,0,177,44,61,91,139,245,130,12,70,89,0,0,0,27,197,438,park-cemetery-etc-Bronx,Bronx,2062.683807,BX99,NA,NA,NA,NA,NA,NA
0.1067881,20,2,842,5119,516,5918,310,2451,46104,36077,22952,12997,7079,0,0,0,648,5639,10700,432,2658,5669,25457,122,15189,6976,31986,46,496,1463,2226,1252,17240,178,1025,2422,11868,44,7223,3196,11876,25,1442,22319,1423,5669,16655,922,9052,18254,10268,82,1199,18837,254,1633,3247,13589,78,7966,3780,11076,39,1312,23785,1416,13907,27274,122,2009,289,3365,2492,2239,3818,5111,8213,4318,23,524,1091,0,98,246,318,2236,5330,Schuylerville-Throgs Neck-Edgewater Park,Bronx,297663.8433,BX52,958549,572.7,627.9,602,2.71066666666667,0.397386666666667
